,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
106,423,98125,2/4/19 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
14,425,98105,2/25/19 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
243,428,98103,3/11/19 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
189,430,98026,4/5/19 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
85,433,98011,4/14/19 12:00 AM,-122.20257,47.751471,WA,Bothell,98011,1
15,433,98105,4/19/19 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
185,435,98499,5/7/19 12:00 AM,-122.50844,47.16632,WA,Lakewood,98499,1
176,436,98036,5/16/19 12:00 AM,-122.28394,47.808816,WA,Lynnwood,98036,1
107,439,98125,5/31/19 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
263,441,98444,6/10/19 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
320,442,98110,6/17/19 12:00 AM,-122.53508,47.65526,WA,Bainbridge Island,98110,1
323,442,98837,6/23/19 12:00 AM,-119.28455,47.133606,WA,Moses Lake,98837,1
260,443,98029,7/4/19 12:00 AM,-122.02065,47.572401,WA,Issaquah,98029,1
254,445,98038,7/8/19 12:00 AM,-122.03553,47.381989,WA,Maple Valley,98038,1
315,448,98371,7/29/19 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,1
324,447,98133,7/30/19 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
78,449,98199,8/9/19 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,1
333,449,98626,8/10/19 12:00 AM,-122.88566,46.150433,WA,Kelso,98626,1
334,453,99203,9/13/19 12:00 AM,-117.40636,47.629091,WA,Spokane,99203,1
273,455,98383,9/18/19 12:00 AM,-122.69055,47.667257,WA,Silverdale,98383,1
338,456,98312,9/27/19 12:00 AM,-122.71293,47.564437,WA,Bremerton,98312,1
276,459,98006,10/18/19 12:00 AM,-122.1526,47.562975,WA,Bellevue,98006,1
6,461,98296,11/2/19 12:00 AM,-122.11068,47.846083,WA,Snohomish,98296,1
325,466,98133,12/2/19 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
346,467,99004,12/8/19 12:00 AM,-117.60575,47.466974,WA,Cheney,99004,1
