zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
99217,Spokane,,WA,Spokane County,47.74,-117.25,16920
99218,Spokane,,WA,Spokane County,47.75,-117.43,12890
99219,Spokane,Sunset Hill,WA,Spokane County,47.63,-117.54,314
99220,Spokane,,WA,Spokane County,47.64,-117.41,565
99223,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.59,-117.35,30660
99224,Spokane,,WA,Spokane County,47.63,-117.55,21020
99228,Spokane,,WA,Spokane County,47.79,-117.38,1319
99251,Spokane,,WA,Spokane County,47.75,-117.42,46
99252,Spokane,,WA,Spokane County,47.65,-117.37,0
99256,Spokane,,WA,Spokane County,47.66,-117.42,0
99258,Spokane,,WA,Spokane County,47.66,-117.4,92
99260,Spokane,,WA,Spokane County,47.66,-117.42,0
99299,Spokane,,WA,Spokane County,47.65,-117.42,0
99301,Pasco,,WA,Franklin County,46.41,-118.9,81080
99302,Pasco,Tri Cities,WA,Franklin County,46.25,-119.08,2500
99320,Benton City,,WA,Benton County,46.24,-119.49,9210
99321,Beverly,,WA,Grant County,46.87,-119.81,1180
99322,Bickleton,,WA,Klickitat County,45.92,-120.19,210
99323,Burbank,,WA,Walla Walla County,46.22,-118.82,3580
99324,College Place,,WA,Walla Walla County,46.04,-118.4,8090
99326,Connell,,WA,Franklin County,46.66,-118.9,3570
99328,Dayton,,WA,Columbia County,46.31,-117.9,3010
99329,Dixie,,WA,Walla Walla County,46.16,-118.15,280
99330,Eltopia,,WA,Franklin County,46.5,-119.05,1710
99333,Hooper,,WA,Whitman County,46.75,-118.14,53
99335,Kahlotus,,WA,Franklin County,46.66,-118.56,282
99336,Kennewick,,WA,Benton County,46.21,-119.16,44740
99337,Kennewick,,WA,Benton County,46.07,-119.08,31340
99338,Kennewick,,WA,Benton County,46.16,-119.25,18680
99341,Lind,,WA,Adams County,46.9,-118.68,650
99343,Mesa,,WA,Franklin County,46.58,-119.15,3020
99344,Othello,Hatton,WA,Adams County,46.8,-119.15,18890
99345,Paterson,,WA,Benton County,45.94,-119.66,357
99346,Plymouth,,WA,Benton County,46,-119.3,380
99347,Pomeroy,,WA,Garfield County,46.44,-117.54,2000
99348,Prescott,,WA,Walla Walla County,46.35,-118.47,1220
99349,Mattawa,Desert Aire,WA,Grant County,46.72,-119.73,9060
99350,Prosser,,WA,Benton County,46.12,-119.68,12630
99352,Richland,,WA,Benton County,46.25,-119.29,34300
99353,West Richland,Richland,WA,Benton County,46.31,-119.37,17280
99354,Richland,,WA,Benton County,46.35,-119.32,21790
99356,Roosevelt,,WA,Klickitat County,45.85,-120.34,270
99357,Royal City,,WA,Grant County,46.9,-119.66,5590
99359,Starbuck,,WA,Columbia County,46.55,-118.19,113
99360,Touchet,Lowden,WA,Walla Walla County,46.12,-118.64,1380
99361,Waitsburg,,WA,Walla Walla County,46.22,-118.15,1620
99362,Walla Walla,,WA,Walla Walla County,46.11,-118.3,35740
99363,Wallula,,WA,Walla Walla County,46.06,-118.89,200
99371,Washtucna,,WA,Adams County,46.82,-118.32,230
99401,Anatone,,WA,Asotin County,46.08,-117.27,250
99402,Asotin,,WA,Asotin County,46.19,-117.13,1640
99403,Clarkston,,WA,Asotin County,46.36,-117.22,17020
